reel_id,title,category,topic,difficulty,educational_value,hype_score,semantic_tags,prerequisites
T022,How Netflix-Style Systems Handle Scale,HLD,Distributed Systems,Advanced,0.97,0.08,"hld,distributed-systems,scaling","backend,hld"
T023,REST APIs: What Good Design Looks Like,Backend,API Design,Beginner,0.9,0.04,"backend,rest,api","web,backend"
T024,Authentication vs Authorization,Backend,Security Basics,Beginner,0.92,0.03,"backend,auth,security","backend,cybersecurity"
T025,Why Backend Services Fail Under Load,Backend,Reliability,Intermediate,0.94,0.04,"backend,reliability,scaling","backend,hld"
T026,Microservices: When NOT to Use Them,Backend,Architecture,Advanced,0.95,0.05,"backend,microservices,architecture","backend,hld"
T027,Event-Driven Architecture in Plain English,Backend,Event Driven Systems,Intermediate,0.93,0.04,"backend,events,architecture","backend,hld"
T028,API Rate Limiting Explained,Backend,Reliability,Intermediate,0.91,0.03,"backend,rate-limit,api","backend,hld"
T029,Python Automation That Saves Real Engineering Time,Python,Automation,Beginner,0.88,0.05,"python,automation,productivity","python,engineering"
T030,Python Virtual Environments Finally Explained,Python,Tooling,Beginner,0.86,0.03,"python,venv,tooling",python
T031,Writing Python That Is Easy to Maintain,Python,Clean Code,Intermediate,0.91,0.05,"python,clean-code,engineering","python,software-engineering"
T032,Async Python: When It Actually Helps,Python,Async Programming,Advanced,0.94,0.05,"python,async,performance","python,backend"
T033,Pandas Tricks for Real Data Work,Python,Data Engineering,Intermediate,0.89,0.04,"python,pandas,data","python,data"
T034,Python Profiling: Find the Slow Code,Python,Performance,Advanced,0.93,0.03,"python,profiling,performance","python,engineering"
T035,RAG Explained With One Real Application,AI,RAG,Intermediate,0.96,0.05,"ai,rag,llm,retrieval","ai,backend"
T036,What an AI Agent Actually Does,AI,AI Agents,Intermediate,0.93,0.07,"ai,agents,llm,tools","ai,software-engineering"
T037,Embeddings: How AI Finds Meaning,AI,Embeddings,Intermediate,0.97,0.04,"ai,embeddings,semantic-search","ai,search"
T038,Vector Search vs Keyword Search,AI,Semantic Search,Intermediate,0.97,0.03,"ai,vector-search,search","ai,databases"
T039,Prompting vs Building Reliable AI Systems,AI,AI Engineering,Advanced,0.96,0.05,"ai,prompting,reliability","ai,software-engineering"
T040,LLM Evaluation: Stop Trusting One Demo,AI,AI Evaluation,Advanced,0.98,0.04,"ai,evaluation,quality","ai,engineering"
T041,Guardrails for Production AI,AI,AI Safety,Advanced,0.95,0.03,"ai,guardrails,reliability","ai,engineering"
T042,Fine-Tuning vs RAG: A Practical Decision,AI,LLM Architecture,Advanced,0.96,0.05,"ai,fine-tuning,rag","ai,backend"
T043,Cloud Basics Every Software Engineer Needs,Cloud,Cloud Fundamentals,Beginner,0.88,0.04,"cloud,engineering,infrastructure","cloud,software-engineering"
T044,Containers Explained Without Docker Hype,Cloud,Containers,Beginner,0.9,0.04,"cloud,docker,containers","cloud,backend"
T045,Why CI/CD Exists,Cloud,DevOps,Beginner,0.91,0.03,"cloud,cicd,devops","cloud,software-engineering"
T046,Kubernetes: What Problem Does It Solve?,Cloud,Kubernetes,Advanced,0.94,0.05,"cloud,kubernetes,containers","cloud,backend"
T047,"Observability: Logs, Metrics and Traces",Cloud,Observability,Advanced,0.95,0.04,"cloud,observability,reliability","cloud,backend"
T048,How Auto-Scaling Works,Cloud,Scalability,Intermediate,0.94,0.04,"cloud,autoscaling,scaling","cloud,hld"
T049,Zero Trust Security in One Diagram,Cybersecurity,Zero Trust,Intermediate,0.95,0.04,"security,zero-trust,network","cybersecurity,cloud"
T050,Phishing: How Modern Attacks Fool People,Cybersecurity,Security Awareness,Beginner,0.89,0.06,"security,phishing,awareness",cybersecurity
T051,OWASP Top Risks Developers Should Know,Cybersecurity,Application Security,Intermediate,0.96,0.04,"security,owasp,web","cybersecurity,web"
T052,How Password Hashing Protects Users,Cybersecurity,Cryptography,Intermediate,0.93,0.03,"security,passwords,hashing","cybersecurity,backend"
T053,Threat Modeling for Developers,Cybersecurity,Threat Modeling,Advanced,0.95,0.04,"security,threat-modeling,engineering","cybersecurity,software-engineering"
T054,SQL Injection: Why It Still Happens,Cybersecurity,Web Security,Intermediate,0.94,0.05,"security,sql,web","cybersecurity,databases"
T055,Choosing a Laptop for Software Development,Hardware,Developer Hardware,Beginner,0.84,0.06,"hardware,laptop,developer","hardware,software-engineering"
T056,CPU vs RAM: What Actually Matters for Developers,Hardware,Computer Hardware,Beginner,0.88,0.04,"hardware,cpu,ram",hardware
T057,GPU vs CPU for Local AI,Hardware,AI Hardware,Intermediate,0.93,0.05,"hardware,gpu,ai","hardware,ai"
T058,"SSD, RAM and Build Times: The Developer Reality",Hardware,Developer Productivity,Beginner,0.87,0.03,"hardware,ssd,ram,productivity","hardware,software-engineering"
T059,How GPUs Accelerate Machine Learning,Hardware,ML Hardware,Intermediate,0.94,0.04,"hardware,gpu,ml","hardware,ai"
T060,Local LLMs: What Your Laptop Can Really Run,Hardware,Local AI,Intermediate,0.94,0.06,"hardware,llm,local-ai","hardware,ai"
T061,Code Review: What Senior Engineers Notice,Career,Engineering Practice,Intermediate,0.94,0.05,"career,code-review,engineering","career,software-engineering"
T062,How Junior Engineers Become Strong Debuggers,Career,Engineering Growth,Intermediate,0.92,0.06,"career,debugging,engineering","career,software-engineering"
T063,Building a Portfolio That Shows Engineering Skill,Career,Portfolio,Beginner,0.87,0.12,"career,portfolio,projects","career,software-engineering"
T064,Internship Prep: Projects vs Certificates,Career,Career Strategy,Beginner,0.86,0.1,"career,internship,projects",career
T065,How Engineers Read a Large Codebase,Career,Engineering Practice,Advanced,0.95,0.04,"career,codebase,engineering","career,software-engineering"
T066,From Coding to Engineering: The Mental Shift,Career,Engineering Mindset,Intermediate,0.94,0.07,"career,engineering,mindset","career,software-engineering"
T067,Git Branching Strategies That Teams Actually Use,DevOps,Git,Beginner,0.9,0.03,"git,devops,collaboration","devops,software-engineering"
T068,GitHub Actions: Your First CI Pipeline,DevOps,CI/CD,Intermediate,0.93,0.03,"github-actions,cicd,devops","devops,cloud"
T069,Dockerizing a Python API,DevOps,Containers,Intermediate,0.94,0.04,"docker,python,api","devops,backend"
T070,Blue-Green vs Rolling Deployments,DevOps,Deployment,Advanced,0.95,0.04,"devops,deployment,cloud","devops,cloud"
T071,How Database Indexes Speed Up Queries,Databases,Indexing,Intermediate,0.95,0.03,"database,indexes,sql","databases,backend"
T072,SQL Joins You Actually Use in Projects,Databases,SQL,Beginner,0.89,0.03,"sql,joins,databases",databases
T073,Transactions and ACID in Real Systems,Databases,Transactions,Advanced,0.95,0.04,"database,acid,transactions","databases,backend"
T074,SQL vs NoSQL: Choose by Workload,Databases,Database Architecture,Intermediate,0.93,0.04,"database,nosql,architecture","databases,hld"
T075,Why Database Connection Pools Matter,Databases,Backend Performance,Advanced,0.94,0.03,"database,connection-pool,backend","databases,backend"
T076,React State: What Actually Changes,Web Development,React,Beginner,0.87,0.04,"react,javascript,frontend","web,programming"
T077,Browser to Backend: What Happens After Click,Web Development,Web Architecture,Intermediate,0.94,0.03,"web,http,backend","web,backend"
T078,HTTP Status Codes Through Real Failures,Web Development,HTTP,Beginner,0.9,0.03,"web,http,api","web,backend"
T079,Frontend Performance: What Users Actually Feel,Web Development,Performance,Intermediate,0.91,0.04,"web,performance,frontend","web,software-engineering"
T080,WebSockets vs HTTP Polling,Web Development,Realtime Systems,Advanced,0.94,0.04,"web,websockets,realtime","web,backend,hld"
T081,What Makes an AI Demo a Production System?,AI,AI Engineering,Advanced,0.97,0.05,"ai,production,engineering","ai,software-engineering"
T082,Why Evaluation Beats a Bigger Prompt,AI,AI Evaluation,Advanced,0.96,0.03,"ai,evaluation,prompting","ai,engineering"
T083,Build a Semantic Search Engine in 5 Steps,AI,Semantic Search,Intermediate,0.95,0.04,"ai,semantic-search,embeddings","ai,search"
T084,Recommendation Systems: Beyond 'People Also Watched',AI,Recommender Systems,Advanced,0.98,0.04,"ai,recommendation,ranking","ai,data"
T085,How Ranking Systems Balance Relevance and Novelty,AI,Ranking,Advanced,0.97,0.03,"ai,ranking,recommendation","ai,search"
T086,Cold Start in Recommendation Systems,AI,Recommender Systems,Advanced,0.96,0.04,"ai,recommendation,cold-start","ai,data"
T087,Why Diversity Matters in Recommendations,AI,Recommendation Quality,Advanced,0.95,0.03,"ai,recommendation,diversity","ai,ranking"
T088,Detecting Clickbait with Signals Instead of Keywords,AI,Content Quality,Intermediate,0.94,0.04,"ai,clickbait,quality","ai,recommendation"
T089,Personalization Without a Creepy User Profile,AI,Responsible Personalization,Advanced,0.95,0.04,"ai,privacy,personalization","ai,security"
T090,Explainable Recommendations: Show the User Why,AI,Explainable AI,Intermediate,0.96,0.03,"ai,xai,recommendation","ai,software-engineering"
T091,How Search Engines Understand Meaning,AI,Semantic Retrieval,Intermediate,0.95,0.03,"ai,search,embeddings","ai,search"
T092,Build a Small RAG System With Grounded Sources,AI,RAG,Intermediate,0.95,0.04,"ai,rag,grounding","ai,backend"
T093,AI Agents: Tool Use vs Simple Chat,AI,AI Agents,Intermediate,0.94,0.06,"ai,agents,tools","ai,software-engineering"
T094,Measuring Whether a Recommendation Is Actually Useful,AI,Recommendation Evaluation,Advanced,0.98,0.02,"ai,recommendation,evaluation","ai,data"
T095,Content Diversity: Why Repeating the Same Topic Is Bad,AI,Recommendation Diversity,Intermediate,0.94,0.03,"ai,recommendation,diversity","ai,ranking"
T096,The Difference Between Relevance and Usefulness,AI,Recommendation Quality,Advanced,0.98,0.03,"ai,recommendation,relevance","ai,ranking"
T097,Building a Learning Path From Content Interactions,AI,Adaptive Learning,Advanced,0.97,0.04,"ai,learning,recommendation","ai,career"
T098,Knowledge Graphs for Connecting Technology Concepts,AI,Knowledge Graphs,Advanced,0.96,0.03,"ai,knowledge-graph,semantic","ai,hld"
T099,How to Detect a Skill Gap From Learning Signals,AI,Skill Gap Analysis,Advanced,0.97,0.04,"ai,skill-gap,personalization","ai,career"
T100,Next-Best-Action Recommendation Explained,AI,Decision Systems,Advanced,0.97,0.03,"ai,recommendation,decision","ai,ranking"
